Station,Date,Year,Month,Day,P,VWind,O3,DWind,PLiquid,PM2.5,PM10,RGlobal,SO2 TR,HAir10,TAir10
HOSPITAL DEL NORTE,2022-05-31,2022,5,31,694.8826087,1.92608696,,201.5869565,0.08695652,5.37391304,12.93043478,180.1608696,1.46521739,82.88695652,23.64347826
HOSPITAL DEL NORTE,2022-05-30,2022,5,30,694.1791667,1.775,,218.6375,0.03333333,6.54166667,14.4375,159.6625,1.8,81.48333333,24.12083333
HOSPITAL DEL NORTE,2022-05-29,2022,5,29,694.1208333,2.00833333,,179.3583333,0.06666667,6.75416667,13.39583333,191.5291667,2.24583333,80.6375,23.92083333
HOSPITAL DEL NORTE,2022-05-28,2022,5,28,694.4291667,1.59583333,,178.9,0,12.1,22.475,152.2125,2.4,80.91666667,24.16666667
HOSPITAL DEL NORTE,2022-05-27,2022,5,27,695.2791667,1.87083333,,220.25,0.00833333,9.6375,20.14583333,176.3458333,1.9125,84.45416667,23.925
HOSPITAL DEL NORTE,2022-05-26,2022,5,26,695.8125,1.6625,,176.0833333,0.01666667,8.7875,21.60416667,155.0625,1.3875,80.8375,23.62083333
HOSPITAL DEL NORTE,2022-05-25,2022,5,25,695.0666667,1.79166667,,210.825,0.4125,11.15416667,23.54583333,138.9916667,1.32916667,85.42916667,23.43333333
HOSPITAL DEL NORTE,2022-05-24,2022,5,24,694.6875,1.9125,,174.475,0,10.45833333,24.65416667,145.3333333,1.13333333,78.75833333,24.1625
HOSPITAL DEL NORTE,2022-05-23,2022,5,23,695.0125,2.37916667,,193.2708333,0.03333333,10.7,25.52916667,233.0166667,1.51666667,73.29166667,25.2875
HOSPITAL DEL NORTE,2022-05-22,2022,5,22,696.3,2.6875,,205.25,0.01666667,11.325,23.69583333,256.1791667,1.07916667,71.3125,25.3875
HOSPITAL DEL NORTE,2022-05-21,2022,5,21,697.1416667,2.34583333,,200.8875,0.08333333,7.1875,16.27916667,246.3125,0.61666667,78.25833333,24.47083333
