Estacion,Fecha inicial,Año,Mes,Día,P,VViento,O3,DViento,PLiquida,PM2.5,PM10,RGlobal,SO2 TR,HAire10,TAire10
COLEGIO GAITÁN,2022-04-29,2022,4,29,683.5791667,1.4125,32.71666667,186.0166667,0.05833333,9.6125,19.6375,207.9666667,2.27916667,84.80833333,23.25416667
COLEGIO GAITÁN,2022-04-28,2022,4,28,683.7625,1.3375,21.2,158.3375,0.3,9.625,20.44583333,99.5125,2.10833333,91.39583333,22.06666667
COLEGIO GAITÁN,2022-04-27,2022,4,27,683.4875,1.60833333,28.70833333,215.9583333,0,7.8875,16.1625,235.5458333,2.10416667,79.08333333,23.95833333
COLEGIO GAITÁN,2022-04-26,2022,4,26,684.2625,1.54166667,25.0875,230.5291667,0.01666667,6.60416667,13.79166667,230.1916667,2.0875,81.12916667,22.9625
COLEGIO GAITÁN,2022-04-25,2022,4,25,684.4666667,1.2875,22.40416667,212.4583333,0.03333333,5.75,11.66666667,78.32916667,,90.84583333,21.025
COLEGIO GAITÁN,2022-04-24,2022,4,24,683.3416667,1.40833333,27.5125,240.7333333,0,7.0375,12.9375,211.9333333,,82.1375,23.4875
COLEGIO GAITÁN,2022-04-23,2022,4,23,684.3666667,1.475,27.97916667,285.6041667,0,5.15416667,13.67916667,272.4208333,,82.04166667,22.7875
COLEGIO GAITÁN,2022-04-22,2022,4,22,685.4375,1.18333333,23.38333333,181.9666667,1.28333333,3.90416667,8.82083333,193.3833333,,87.95833333,21.48333333
COLEGIO GAITÁN,2022-04-21,2022,4,21,685.5916667,1.23333333,23.53333333,214.1791667,0.36666667,6.25,13.69583333,143.175,,89.47916667,21.67083333
COLEGIO GAITÁN,2022-04-20,2022,4,20,685.6791667,1.2375,19.6,241.6625,0,8.20833333,17.90416667,138.1083333,,88.28333333,21.87916667
COLEGIO GAITÁN,2022-04-19,2022,4,19,685.325,1.16666667,24.2,187.2083333,1,6.58333333,14.12916667,68.0625,,94.75833333,20.92916667
COLEGIO GAITÁN,2022-04-18,2022,4,18,684.2458333,1.3,21.88333333,210.2833333,0.01666667,8.30416667,16.92916667,151.0291667,,87.2875,22.82083333
COLEGIO GAITÁN,2022-04-17,2022,4,17,683.8083333,1.42916667,28.8,220.7333333,0.19166667,8.04166667,13.5375,105.6458333,,87.85,22
COLEGIO GAITÁN,2022-04-16,2022,4,16,683.125,1.43333333,30.1625,232.1291667,0,14.72916667,23.9,115.525,,81.89583333,23.73333333
COLEGIO GAITÁN,2022-04-15,2022,4,15,683.0875,1.5,35.54583333,226.3375,0,17.87083333,26.91666667,205.9666667,2.9,76,24.8625
COLEGIO GAITÁN,2022-04-14,2022,4,14,682.9041667,1.34583333,38.82083333,230.8,0,14.47083333,23.0625,214.1125,2.275,76.925,24.8625
COLEGIO GAITÁN,2022-04-13,2022,4,13,682.7208333,1.54583333,37.77916667,240.0541667,0,15.85833333,30.9875,219.5041667,2.25,75.80416667,24.94583333
COLEGIO GAITÁN,2022-04-12,2022,4,12,682.6958333,1.4875,38.6125,242.7833333,0.00833333,11.7375,21.36666667,233.9291667,2,78.59583333,24.69166667
COLEGIO GAITÁN,2022-04-11,2022,4,11,683.2916667,1.45,30.225,258.8833333,0.00833333,8.46111111,14.94444444,226.6708333,2.16,80.00833333,24.4875
COLEGIO GAITÁN,2022-04-10,2022,4,10,683.45,1.5,30.56666667,208.9333333,0,6.79166667,12.37916667,203.3166667,1.69166667,81.72083333,24.05833333
COLEGIO GAITÁN,2022-04-09,2022,4,9,683.8416667,1.39583333,25.4625,248.925,0.06666667,8.51666667,16.01666667,262.3125,1.6125,83.42083333,23.9875
COLEGIO GAITÁN,2022-04-08,2022,4,8,684.0583333,1.19166667,19.3125,222.5583333,0.00833333,8.25,19.42083333,171.325,1.52083333,86.2375,23.13333333
COLEGIO GAITÁN,2022-04-07,2022,4,7,683.8625,1.20833333,30.24583333,221.1666667,1.57083333,7.45833333,16.21666667,94.0625,1.47916667,89.47083333,22.17916667
COLEGIO GAITÁN,2022-04-06,2022,4,6,683.0708333,1.35416667,36.75714286,237.2791667,0.01666667,11.60833333,21.78333333,201.0541667,1.99230769,81.50416667,24.29583333
COLEGIO GAITÁN,2022-04-05,2022,4,5,683.6708333,1.775,35.21666667,199.1708333,0,9.18333333,17.25416667,210.8083333,,82.375,23.69583333
COLEGIO GAITÁN,2022-04-04,2022,4,4,683.7208333,1.65,37.00416667,223.8541667,0.6875,5.225,10.89166667,209.9791667,1.95555556,84.6875,22.82916667
COLEGIO GAITÁN,2022-04-03,2022,4,3,683.3416667,1.60416667,43.05416667,251.1291667,0.13333333,9.51666667,15.875,249.9541667,,78.74583333,24.00416667
COLEGIO GAITÁN,2022-04-02,2022,4,2,684.15,1.4375,37.125,274.3166667,0,12.56666667,20.16666667,193.6541667,1.88,85.14166667,24.06666667
COLEGIO GAITÁN,2022-04-01,2022,4,1,684.1347826,1.6,28.04583333,227.9043478,0.46956522,10.0625,16.89583333,198.6478261,2.12083333,87.11304348,23.06956522
COLEGIO GAITÁN,2022-03-31,2022,3,31,683.0521739,1.42173913,7.12608696,234.5304348,0.00869565,10.83913043,21.89565217,203.1783478,,79.52173913,23.83043478
COLEGIO GAITÁN,2022-03-30,2022,3,30,683.6333333,1.45416667,29.05,260.5958333,0,8.86666667,17.14583333,206.7,,81.89583333,23.12083333
COLEGIO GAITÁN,2022-03-29,2022,3,29,684.1083333,1.55833333,33.65714286,241.6125,0.01666667,15.1,23.50833333,235.1525833,,82.27083333,23.92916667
COLEGIO GAITÁN,2022-03-28,2022,3,28,684.275,1.29166667,39.66666667,259.7791667,0,13.92916667,23.5375,168.333875,,83.20833333,23.47083333
COLEGIO GAITÁN,2022-03-27,2022,3,27,683.9083333,1.24166667,36.54166667,193.4041667,0,17.12916667,24.49166667,118.9945833,,84.59166667,23.10833333
